result	status	path
SKIP	M	pstack/.cursor-plugin/plugin.json
TAKE-THEIRS	M	README-UPSTREAM.md
SKIP	M	pstack/docs/guide/01-setup.md
SKIP	M	pstack/docs/guide/07-overnight.md
CONFLICT	M	plugins/pstack/skills/architect/SKILL.md
CONFLICT	M	plugins/pstack/skills/arena/SKILL.md
MERGE	M	plugins/pstack/skills/blast-radius/SKILL.md
MERGE	M	plugins/pstack/skills/figure-it-out/SKILL.md
CONFLICT	M	plugins/pstack/skills/how/SKILL.md
TAKE-THEIRS	M	plugins/pstack/skills/how/references/explorer-prompt.md
CONFLICT	M	plugins/pstack/skills/interrogate/SKILL.md
TAKE-THEIRS	M	plugins/pstack/skills/interrogate/references/code-quality-review.md
TAKE-THEIRS	M	plugins/pstack/skills/interrogate/references/reviewer-prompt.md
TAKE-THEIRS	M	plugins/pstack/skills/interrogate/references/rubric.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/SKILL.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/autopilot-full.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/autopilot-stack.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/babysit.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/bug-fix.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/feature.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/hillclimb.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/multi-phase-plan.md
MERGE	M	plugins/pstack/skills/poteto-mode/playbooks/opening-a-pr.md
MERGE	M	plugins/pstack/skills/poteto-mode/playbooks/pause-safely.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/perf-issue.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/refactoring.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/playbooks/shipping.md
CONFLICT	M	plugins/pstack/skills/poteto-mode/scripts/check-plan.mjs
MERGE	M	plugins/pstack/skills/principle-guard-the-context-window/SKILL.md
MERGE	M	plugins/pstack/skills/principle-never-block-on-the-human/SKILL.md
MERGE	M	plugins/pstack/skills/principle-outcome-oriented-execution/SKILL.md
MERGE	M	plugins/pstack/skills/principle-prove-it-works/SKILL.md
MERGE	M	plugins/pstack/skills/principle-sequence-verifiable-units/SKILL.md
CONFLICT	M	plugins/pstack/skills/reflect/SKILL.md
MERGE	M	plugins/pstack/skills/reflect/references/divergent-reviewer.md
MERGE	M	plugins/pstack/skills/reflect/references/judgment-reviewer.md
MERGE	M	plugins/pstack/skills/reflect/references/tooling-reviewer.md
CONFLICT	M	plugins/pstack/skills/setup-pstack/SKILL.md
CONFLICT	M	plugins/pstack/skills/show-me-your-work/SKILL.md
TAKE-THEIRS	M	plugins/pstack/skills/show-me-your-work/scripts/log.sh
CONFLICT	M	plugins/pstack/skills/swarm/SKILL.md
MERGE	M	plugins/pstack/skills/tdd/SKILL.md
MERGE	M	plugins/pstack/skills/technical-writing/SKILL.md
MERGE	M	plugins/pstack/skills/unslop/SKILL.md
CONFLICT	M	plugins/pstack/skills/why/SKILL.md
